S/N,EMPLOYER CODE,OLD EMPLOYER CODE,REGISTRATION,NAME,SECTOR
167,PR0000009961, ,RA009961,ADAMU FARM LTD,Agriculture and Agro Allied
168,PR0000649995, ,RA649995,ADASHERI AGRO VENTURES LIMITED,Agriculture and Agro Allied
169,PR0001348296, ,1348296,ADATY AGRO SERVICES NIG LTD,Agriculture and Agro Allied
170,PR0001185190, ,1185190,ADAWIYYA FARMS LTD,Agriculture and Agro Allied
171,PR0000617957, ,RA617957,ADBOL FARMS NIGERIA LIMITED,Agriculture and Agro Allied
172,PR0002006182, ,2007839,ADDEMORAN FARMS,Agriculture and Agro Allied
173,PR0000012772, ,RA012772,ADDIS AGRICULTURAL & TEC. . CO. LTD,Agriculture and Agro Allied
174,PR0000017550, ,RA017550,ADE FISH DISTRIBUTORS & ENTERPRISES LTD,Agriculture and Agro Allied
175,PR0000062940, ,RA062940,ADE-TRORUN FARMS LTD,Agriculture and Agro Allied
176,PR0000642452, ,RA642452,ADEBAKIN INT'L AND AGRO ALLIED COMPANY LIMITED,Agriculture and Agro Allied
177,PR0000638632, ,RA638632,ADEBISI FARMS LIMITED,Agriculture and Agro Allied
178,PR0000005184, ,RA005184,ADEDA FARM ESTATES LTD,Agriculture and Agro Allied
179,PR0000512525, ,RA512525,ADEDOLA AGRO ALLIED FARMS LIMITED,Agriculture and Agro Allied
180,PR0000044226, ,1668286,ADEELAH INTEGRATED FARM LTD,Agriculture and Agro Allied
181,BR0001453835,PRTEMP006430,1453835 ,ADEFBTOS AGRO NIG,Agriculture and Agro Allied
182,PR0001515675, ,1515675,ADEFUNKE-DESH NIGERIA LTD,Agriculture and Agro Allied
183,PR0000069349, ,RA069349,ADEKILAN FARMS LTD,Agriculture and Agro Allied
184,PR0001053789, ,1053789,ADEL AGRO ALLIED FARMS LTD,Agriculture and Agro Allied
185,PR0000645349, ,RA645349,ADEMELOYE MEMORIAL FARM NIGERIA LIMITED,Agriculture and Agro Allied
186,PR0000607047, ,RA607047,ADEMOLA ADELEKE FARMS NIGERIA LIMITED,Agriculture and Agro Allied
187,PR0000633703, ,RA633703,ADEOBA FARMS & CASSAVA INDUSTRY LIMITED,Agriculture and Agro Allied
188,PR0000055073, ,RA055073,ADEOLA FARMS NIGERIA LIMITED,Agriculture and Agro Allied
189,PR0000608022, ,608022,ADEPET AGRO ALLIED INVESTMENTS LIMITED,Agriculture and Agro Allied
190,PR0000640061, ,RA640061,ADESHOLA FARM NIGERIA LIMITED,Agriculture and Agro Allied
191,PR0000014768, ,RA014768,ADESINA FOOD & AGRICULTURAL PRODUCT LTD,Agriculture and Agro Allied
192,PR0002002089, ,2002044,ADESINA LIVESTOCK FARMS,Agriculture and Agro Allied
193,PR0000601151, ,601151,ADETOLA POULTRY PROCESSING LIMITED,Agriculture and Agro Allied
194,PR0000016017, ,RA016017,ADEWUNMI FARMS LIMITED,Agriculture and Agro Allied
195,PR0000508032, ,RA508032,ADEWURA FARMS LIMITED,Agriculture and Agro Allied
196,PR0000019216, ,RA019216,ADFARM LTD,Agriculture and Agro Allied
197,PR0000650457, ,RA650457,ADHEKE FARMS LIMITED,Agriculture and Agro Allied
198,PR0000990324, ,990324,ADIFA TROPICAL FARMS LTD,Agriculture and Agro Allied
199,PR0000265965, ,RA265965,ADM FARM & AGRIC SUPPLIES LTD,Agriculture and Agro Allied
200,PR0000607172, ,RA607172,ADMA AGRO AND GLOBAL SERVICES LIMITED,Agriculture and Agro Allied
201,PR0000633016, ,RA633016,ADMIRAL FARM - NET LIMITED,Agriculture and Agro Allied
202,PR0000151340, ,RA151340,ADO AGRICULTURAL & AGRO ALLIED CO. LTD,Agriculture and Agro Allied
203,PR0000863575, ,863575,ADO MARINE AND FARMS VENTURES LIMITED,Agriculture and Agro Allied
204,PR0000660586, ,RA660586,ADOBANYIN FARMS LIMITED,Agriculture and Agro Allied
205,PR0000017808, ,RA017808,ADOFI FARM ESTATES LTD,Agriculture and Agro Allied
206,PR0000665249, ,RA665249,ADOM AGRO ALLIED NIGERIA LIMITED,Agriculture and Agro Allied
207,PR0000510811, ,RA510811,ADROIT FARMS LIMITED,Agriculture and Agro Allied
208,PR0000636424, ,RA636424,ADST FARMS LIMITED,Agriculture and Agro Allied
209,PR0000633108, ,RA633108,ADUKE FARMS LIMITED,Agriculture and Agro Allied
210,PR0000625596, ,RA625596,ADUNNI FARMS AND COMMODITIES LIMITED,Agriculture and Agro Allied
211,PR0000010247, ,RA010247,ADUNOLA AGRO-COMMERCIAL VENTURES LTD,Agriculture and Agro Allied
212,PR0000606594, ,RA606594,ADURA AGRO-ALLIED INDUSTRIES LIMITED,Agriculture and Agro Allied
213,PR0000620109, ,RA620109,ADURALAGBA AGRO INDUSTRIAL COMPANY LIMITED,Agriculture and Agro Allied
214,PR0000644218, ,RA644218,ADUWA FARMS AND AGRO ALLIED NIG LTD,Agriculture and Agro Allied
215,PR0000504686, ,RA504686,ADWON FARMS LIMITED,Agriculture and Agro Allied
216,BR0000028100, ,2637715,AFADH GENERAL MERCHANT,Agriculture and Agro Allied
217,PR0000603448, ,RA603448,AFCON FISHERIES LIMITED,Agriculture and Agro Allied
218,PR0001512488, ,1512488,AFEJEMUAN FARMS LIMITED,Agriculture and Agro Allied
219,PR0000664175, ,664175,AFIS ADE FARMS NIGERIA LIMITED,Agriculture and Agro Allied
220,PR0000086068, ,RA086068,AFOLABI FARMS LIMITED,Agriculture and Agro Allied
221,PR0000003070, ,RA003070,AFREPOL FISHING IND. LTD,Agriculture and Agro Allied
222,PR0000335543, ,784523,AFRI AGRI PRODUCTS LTD,Agriculture and Agro Allied
223,PR0000600469, ,RA600469,AFRI FISHING NIGERIA LIMITED,Agriculture and Agro Allied
224,PR0000069175, ,RA069175,AFRI-AGRIC NIGERIA LIMITED,Agriculture and Agro Allied
225,PR0000606040, ,RA606040,AFRICA CONTINENTAL MODEL FARMS LTD,Agriculture and Agro Allied
226,PR0000644790, ,RA644790,AFRICA FARMERS & ALLIED SERVICES LIMITED,Agriculture and Agro Allied
227,PR0000622014, ,RA622014,AFRICA FARMING PROJECT LTD/GTE,Agriculture and Agro Allied
228,PR0000651906, ,RA651906,AFRICA PAPERMILL AND AGROFORESTRY NIGERIA LIMITED,Agriculture and Agro Allied
229,PR0000013215, ,RA013215,AFRICAN AGRO COMMODITIES LIMITED,Agriculture and Agro Allied
230,PR0000429550, ,RA429550,AFRICAN AGRO COMMODITIES LIMITED KANO,Agriculture and Agro Allied
231,PR0000391026, ,RA391026,AFRICAN AGRO PRODUCTS LTD,Agriculture and Agro Allied
232,PR0000261072, ,261072,AFRICAN CONTINENTAL AGRO LTD,Agriculture and Agro Allied
233,PR0000603635, ,RA603635,AFRICAN EXPRESS FARMS LIMITED,Agriculture and Agro Allied
234,PR0000365260, ,RA365260,AFRICAN FISH COY NIG LTD,Agriculture and Agro Allied
235,PR0000866572, ,866572,AFRICAN HYDRO AGRIC CHEMICALS LTD,Agriculture and Agro Allied
236,PR0000045080, ,1278127,AFRICAN INLAND FISH FARMING LIMITED,Agriculture and Agro Allied
237,PR0000869468, ,RA869468,AFRICAN MILLING AGRO ALLIED SERVICES NIG LTD,Agriculture and Agro Allied
238,PR0000611110, ,611110,AFRICAN WOMEN AGRIBUSINESS NETWORK NIG LTD/GTE,Agriculture and Agro Allied
239,PR0000061444, ,RA061444,AFRIFARMS LIMITED,Agriculture and Agro Allied
240,PR0000604290, ,604290,AFRIK FORESTRY LIMITED,Agriculture and Agro Allied
241,PR0000047404, ,1558939,AFRIMASH COMPANY LIMITED,Agriculture and Agro Allied
242,PR0000633194, ,RA633194,AFRIQUE UNIQUE FARMS LIMITED,Agriculture and Agro Allied
243,PR0000041813, ,1485756,AFRITROPIC FARMING AND AGRO SERVICES LIMITED,Agriculture and Agro Allied
244,PR0000056763, ,RA056763,AFRO FARMS LIMITED,Agriculture and Agro Allied
245,PR0000634160, ,634160,AFROAGRITECH LIMITED,Agriculture and Agro Allied
246,PR0000506591, ,RA506591,AFUWAPE FARMS LIMITED,Agriculture and Agro Allied
247,PR0000083830, ,RA083830,AGAL AGRO ALLIED COMPANY LIMITED,Agriculture and Agro Allied
248,BR0000407172,PRTEMP004185,407172,AGAPE AGRICULTURE CONSULT,Agriculture and Agro Allied
249,PR0000055912, ,RA055912,AGASHA FARMS NIGERIA LTD,Agriculture and Agro Allied
250,PR0000025207, ,RA025207,AGBAJE AGRICULTURAL SERVICES AND FARM LTD,Agriculture and Agro Allied
251,PR0000012185, ,RA012185,AGBARHA FARMS LTD,Agriculture and Agro Allied
252,PR0000063804, ,1840000,AGBEYEWA FARMS LIMITED,Agriculture and Agro Allied
253,PR0000009897, ,RA009897,AGBOGUGU COMMUNITY FARM LTD,Agriculture and Agro Allied
254,PR0001039352, ,1039352,AGIS AGROTECK LIMITED,Agriculture and Agro Allied
255,PR0000641297, ,RA641297,AGNAS FARMS LIMITED,Agriculture and Agro Allied
256,PR0000008133, ,RA008133,AGNES POULTRY FARMS LTD,Agriculture and Agro Allied
257,PR0000075547, ,RA075547,AGNOLAD AGRICULTURAL ENTS LTD,Agriculture and Agro Allied
258,PR0000045354, ,1656573,AGRAMONDIS LIMITED,Agriculture and Agro Allied
259,PR0000079744, ,1237042,AGRESA FARMS LIMITED,Agriculture and Agro Allied
260,PR0000051748, ,RA051748,AGRI FARM ENTERPRSIES LTD,Agriculture and Agro Allied
261,PR0000071717, ,1704203,AGRI FRONTIER WEST AFRICA LTD,Agriculture and Agro Allied
262,BR0000699399,PRTEMP003765,699399,AGRI OSAS COMPANY,Agriculture and Agro Allied
263,PR0000011979, ,11979,AGRI [NIG.] LIMITED.,Agriculture and Agro Allied
264,PR0000041694, ,RA041694,AGRI-LIVESTOCK IND. CO. LTD,Agriculture and Agro Allied
265,PR0000031986, ,310019,AGRI-PROJECTS LIMITED,Agriculture and Agro Allied
266,PR0000015807, ,15807,AGRI. NIG. LTD,Agriculture and Agro Allied
267,PR0000053017, ,1715246,AGRIARCHE LIMITED,Agriculture and Agro Allied
268,PR0001359614, ,1359614,AGRIBIZ PROJECTS LTD,Agriculture and Agro Allied
269,PR0000501513, ,501513,AGRIBREED FEED LIMITED,Agriculture and Agro Allied
270,PR0000044243, ,1714457,AGRIBRIGHT SOLUTIONS LTD,Agriculture and Agro Allied
271,PR0000022354, ,22354,AGRIBUILD NIG. LTD,Agriculture and Agro Allied
272,PR0000062280, ,1529816,AGRIBUSINESS & CONSULTANTS LTD,Agriculture and Agro Allied
273,PR0000079152, ,1635017,AGRIBUSINESS INNOVATION INTERNATIONAL LTD,Agriculture and Agro Allied
274,PR0000069527, ,RA069527,AGRIC & ALLIED PRODUCTS COMPANY LIMITED,Agriculture and Agro Allied
275,PR0001506206, ,1506206,AGRIC ADVANCE IDEAS NIGERIA LTD,Agriculture and Agro Allied
276,PR0000033448, ,RA033448,AGRIC CONSULT NIG. LTD,Agriculture and Agro Allied
277,PR0000003129, ,RA003129,AGRIC DEVELOPMENT ASSOCIATE LTD,Agriculture and Agro Allied
278,PR0000059710, ,RA059710,AGRIC INDUSTRIES ZARIA LTD,Agriculture and Agro Allied
